CSE3: Fluency in Information Technology,,,,
CSE4GS: Mathematical Beauty in Rome,,,,
CSE6GS: Mathematical Beauty in Rome Lab,,,,
CSE6R: Introduction to Computer Science and Object-Oriented Programming: Python,,,,
CSE8A: Introduction to Programming and Computational Problem-Solving I,,,,
CSE8B: Introduction to Programming and Computational Problem-Solving II,CSE8A,,,
CSE11: Introduction to Programming and Computational Problem-Solving: Accelerated Pace,,,,
CSE12: Basic Data Structures and Object-Oriented Design,CSE8B or CSE11,,,
CSE15L: Software Tools and Techniques Laboratory,CSE8B or CSE11,,,
CSE20: Discrete Mathematics,CSE11 or CSE6R or CSE8A,,,
CSE21: Mathematics for Algorithms and Systems,CSE20,,,
CSE30: Computer Organization and Systems Programming,CSE12,CSE15L,,
CSE42: Building and Programming Electronic Devices,,,,
CSE86: C++ for Java Programmers,CSE12,,,
CSE87: First-year Student Seminar,,,,
CSE100: Advanced Data Structures,CSE12,CSE15L,CSE21,CSE30
CSE101: Design and Analysis of Algorithms,CSE21,CSE12,,
CSE103: A Practical Introduction to Probability and Statistics,CSE21,,,
CSE105: Theory of Computability,CSE12,CSE15L,CSE21,
CSE106: Discrete and Continuous Optimization,CSE21,,,
CSE107: Introuction to Modern Cryptography,CSE21,CSE101,CSE105,
CSE109: Introduction to Programming Contests,CSE30,,,
CSE110: Software Engineering,CSE100,,,
CSE112: Advanced Software Engineering,CSE110,,,
CSE118: Upiquitous Computing,CSE131 or CSE132B,,,
CSE120: Principles of Computer Operating Systems,CSE101,CSE110,,
CSE123: Computer Networks,CSE101,CSE110,,
CSE124: Networked Services,CSE101,CSE110,,
CSE125: Software System Design and Implementation,,,,
CSE127: Introduction to Computer Security,CSE120 or CSE123 or CSE124,,,
CSE130: Programming Languages: Principles and Paradigms,CSE100,CSE105,,
CSE131: Compiler Construction,CSE130,,,
CSE132A: Database System Principles,CSE100,,,
CSE132B: Database Systems Applications,CSE132A,,,
CSE132C: Database System Implementation,CSE132A,,,
CSE134B: Web Client Languages,CSE100,,,
CSE135: Online Database Analytics Applications,CSE100,,,
CSE136: Enterprise-Class Web Applications,CSE135,,,
CSE140: Components and Design Techniques for Digital Systems,CSE20,CSE30,,
CSE140L: Digital Systems Labratory,CSE20,CSE30,,
CSE141: Introduction to Computer Architecture,CSE140,CSE140L,,
CSE141L: Project in Computer Architecture,CSE140,CSE140L,,
CSE142: Introduction to Computer Architecture: A Software Perspective,CSE100,,,
CSE142L: Software Project for Computer Architecture,CSE100,,,
CSE143: Microelectronic System Design,CSE140,,,
CSE145: Embedded System Design Project,,,,
CSE148: Advanced Processor Architecture Design Project,CSE141,CSE141L,,
CSE150A: Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making,CSE12,CSE15L,CSE103,
CSE150B: Introduction to Artificial Intelligence: Search and Reasoning,CSE100,CSE103,,
CSE151A: Introuction to Machine Learning,CSE12,CSE15L,CSE103,
CSE151B: Deep Learning,CSE103,,,
CSE152A: Introduction to Computer Vision I,CSE12,CSE15L,,
CSE152B: Introduction to Computer Vision II,CSE152A or CSE166,,,
CSE156: Statistical Natural Language Processing,CSE12,CSE15L,CSE103,
CSE158: Recommender Systems and Web Mining,CSE12,CSE15L,CSE103,
CSE160: Introduction to Parallel Computing,CSE100,,,
CSE163: Advanced Computer Graphics,CSE167,,,
CSE165: 3-D User Interaction,CSE167,,,
CSE166: Image Processing,CSE100,,,
CSE167: Computer Graphics,CSE100,,,
CSE169: Computer Animation,CSE167,,,
CSE170: Interaction Design,CSE12,,,
CSE175: Successful Entrepreneurship for Engineers,,,,
CSE176A: Health Care Robotics,CSE110 or CSE170,,,
CSE176E: Robot Systems Design and Implementation,,,,
CSE180: Biology Meets Computing,,,,
CSE181: Molecular Sequence Analysis,CSE100,CSE101,,
CSE182: Biological Databases,CSE100,,,
CSE184: Computational Molecular Biology,CSE181,CSE182,,
CSE185: Advanced Bioinformatics Laboratory,CSE12,,,